year,state,hc-key,category,cpi
2021,my-jh,my-jh,alcohol_tobacco,172.1
2021,my-kh,my-kh,alcohol_tobacco,174.3
2021,my-kn,my-kn,alcohol_tobacco,183.8
2021,my-me,my-me,alcohol_tobacco,169.4
2021,my-ns,my-ns,alcohol_tobacco,170.5
2021,my-ph,my-ph,alcohol_tobacco,176.4
2021,my-pk,my-pk,alcohol_tobacco,167.5
2021,my-pl,my-pl,alcohol_tobacco,183.9
2021,my-pg,my-pg,alcohol_tobacco,165.5
2021,my-sa,my-sa,alcohol_tobacco,172.5
2021,my-sk,my-sk,alcohol_tobacco,171.7
2021,my-sl,my-sl,alcohol_tobacco,167.9
2021,my-te,my-te,alcohol_tobacco,183.2
2021,my-kl,my-kl,alcohol_tobacco,165.7
2021,my-la,my-la,alcohol_tobacco,132.7
2021,my-pj,my-pj,alcohol_tobacco,183.7
2021,my-jh,my-jh,clothing_footwear,95.3
2021,my-kh,my-kh,clothing_footwear,87.4
2021,my-kn,my-kn,clothing_footwear,97.2
2021,my-me,my-me,clothing_footwear,77.1
2021,my-ns,my-ns,clothing_footwear,99.5
2021,my-ph,my-ph,clothing_footwear,95.0
2021,my-pk,my-pk,clothing_footwear,91.8
2021,my-pl,my-pl,clothing_footwear,90.0
2021,my-pg,my-pg,clothing_footwear,91.0
2021,my-sa,my-sa,clothing_footwear,91.3
2021,my-sk,my-sk,clothing_footwear,91.2
2021,my-sl,my-sl,clothing_footwear,98.9
2021,my-te,my-te,clothing_footwear,92.8
2021,my-kl,my-kl,clothing_footwear,86.3
2021,my-la,my-la,clothing_footwear,89.0
2021,my-pj,my-pj,clothing_footwear,86.5
2021,my-jh,my-jh,communication,97.9
2021,my-kh,my-kh,communication,98.9
2021,my-kn,my-kn,communication,99.4
2021,my-me,my-me,communication,97.8
2021,my-ns,my-ns,communication,102.6
2021,my-ph,my-ph,communication,104.3
2021,my-pk,my-pk,communication,101.7
2021,my-pl,my-pl,communication,102.1
2021,my-pg,my-pg,communication,95.9
2021,my-sa,my-sa,communication,99.1
2021,my-sk,my-sk,communication,98.6
2021,my-sl,my-sl,communication,96.4
2021,my-te,my-te,communication,97.6
2021,my-kl,my-kl,communication,91.9
2021,my-la,my-la,communication,100.3
2021,my-pj,my-pj,communication,96.6
2021,my-jh,my-jh,education,127.2
2021,my-kh,my-kh,education,108.5
2021,my-kn,my-kn,education,130.5
2021,my-me,my-me,education,131.0
2021,my-ns,my-ns,education,114.7
2021,my-ph,my-ph,education,120.3
2021,my-pk,my-pk,education,114.4
2021,my-pl,my-pl,education,126.0
2021,my-pg,my-pg,education,119.4
2021,my-sa,my-sa,education,112.1
2021,my-sk,my-sk,education,116.2
2021,my-sl,my-sl,education,122.5
2021,my-te,my-te,education,126.7
2021,my-kl,my-kl,education,127.6
2021,my-la,my-la,education,130.2
2021,my-pj,my-pj,education,126.7
2021,my-jh,my-jh,food_beverage,142.3
2021,my-kh,my-kh,food_beverage,130.3
2021,my-kn,my-kn,food_beverage,133.8
2021,my-me,my-me,food_beverage,138.0
2021,my-ns,my-ns,food_beverage,135.5
2021,my-ph,my-ph,food_beverage,135.4
2021,my-pk,my-pk,food_beverage,129.4
2021,my-pl,my-pl,food_beverage,124.2
2021,my-pg,my-pg,food_beverage,140.9
2021,my-sa,my-sa,food_beverage,123.5
2021,my-sk,my-sk,food_beverage,135.3
2021,my-sl,my-sl,food_beverage,141.3
2021,my-te,my-te,food_beverage,129.5
2021,my-kl,my-kl,food_beverage,139.0
2021,my-la,my-la,food_beverage,124.2
2021,my-pj,my-pj,food_beverage,146.8
2021,my-jh,my-jh,furnishings,115.9
2021,my-kh,my-kh,furnishings,114.7
2021,my-kn,my-kn,furnishings,112.0
2021,my-me,my-me,furnishings,117.9
2021,my-ns,my-ns,furnishings,115.5
2021,my-ph,my-ph,furnishings,117.8
2021,my-pk,my-pk,furnishings,115.9
2021,my-pl,my-pl,furnishings,108.1
2021,my-pg,my-pg,furnishings,116.2
2021,my-sa,my-sa,furnishings,112.8
2021,my-sk,my-sk,furnishings,117.1
2021,my-sl,my-sl,furnishings,122.0
2021,my-te,my-te,furnishings,111.8
2021,my-kl,my-kl,furnishings,118.8
2021,my-la,my-la,furnishings,107.2
2021,my-pj,my-pj,furnishings,129.9
2021,my-jh,my-jh,health,129.9
2021,my-kh,my-kh,health,119.0
2021,my-kn,my-kn,health,126.7
2021,my-me,my-me,health,120.0
2021,my-ns,my-ns,health,125.9
2021,my-ph,my-ph,health,121.5
2021,my-pk,my-pk,health,120.7
2021,my-pl,my-pl,health,115.3
2021,my-pg,my-pg,health,130.4
2021,my-sa,my-sa,health,128.9
2021,my-sk,my-sk,health,131.9
2021,my-sl,my-sl,health,124.2
2021,my-te,my-te,health,123.9
2021,my-kl,my-kl,health,117.8
2021,my-la,my-la,health,130.5
2021,my-pj,my-pj,health,109.3
2021,my-jh,my-jh,hospitality,134.0
2021,my-kh,my-kh,hospitality,127.8
2021,my-kn,my-kn,hospitality,120.0
2021,my-me,my-me,hospitality,124.7
2021,my-ns,my-ns,hospitality,124.7
2021,my-ph,my-ph,hospitality,120.8
2021,my-pk,my-pk,hospitality,127.3
2021,my-pl,my-pl,hospitality,124.0
2021,my-pg,my-pg,hospitality,134.3
2021,my-sa,my-sa,hospitality,135.3
2021,my-sk,my-sk,hospitality,152.6
2021,my-sl,my-sl,hospitality,142.0
2021,my-te,my-te,hospitality,120.2
2021,my-kl,my-kl,hospitality,129.1
2021,my-la,my-la,hospitality,125.7
2021,my-pj,my-pj,hospitality,138.2
2021,my-jh,my-jh,housing_utilities,123.1
2021,my-kh,my-kh,housing_utilities,123.5
2021,my-kn,my-kn,housing_utilities,116.6
2021,my-me,my-me,housing_utilities,124.3
2021,my-ns,my-ns,housing_utilities,120.5
2021,my-ph,my-ph,housing_utilities,117.5
2021,my-pk,my-pk,housing_utilities,114.4
2021,my-pl,my-pl,housing_utilities,112.9
2021,my-pg,my-pg,housing_utilities,123.9
2021,my-sa,my-sa,housing_utilities,107.3
2021,my-sk,my-sk,housing_utilities,110.8
2021,my-sl,my-sl,housing_utilities,126.9
2021,my-te,my-te,housing_utilities,114.2
2021,my-kl,my-kl,housing_utilities,127.8
2021,my-la,my-la,housing_utilities,119.3
2021,my-pj,my-pj,housing_utilities,115.9
2021,my-jh,my-jh,misc,123.7
2021,my-kh,my-kh,misc,120.3
2021,my-kn,my-kn,misc,119.2
2021,my-me,my-me,misc,114.9
2021,my-ns,my-ns,misc,111.2
2021,my-ph,my-ph,misc,114.7
2021,my-pk,my-pk,misc,118.9
2021,my-pl,my-pl,misc,108.9
2021,my-pg,my-pg,misc,123.2
2021,my-sa,my-sa,misc,114.2
2021,my-sk,my-sk,misc,117.0
2021,my-sl,my-sl,misc,113.5
2021,my-te,my-te,misc,124.2
2021,my-kl,my-kl,misc,114.0
2021,my-la,my-la,misc,112.8
2021,my-pj,my-pj,misc,119.5
2021,my-jh,my-jh,overall,125.2
2021,my-kh,my-kh,overall,119.3
2021,my-kn,my-kn,overall,121.4
2021,my-me,my-me,overall,120.1
2021,my-ns,my-ns,overall,122.8
2021,my-ph,my-ph,overall,120.1
2021,my-pk,my-pk,overall,118.2
2021,my-pl,my-pl,overall,115.5
2021,my-pg,my-pg,overall,124.2
2021,my-sa,my-sa,overall,113.8
2021,my-sk,my-sk,overall,120.3
2021,my-sl,my-sl,overall,125.7
2021,my-te,my-te,overall,118.2
2021,my-kl,my-kl,overall,124.0
2021,my-la,my-la,overall,116.9
2021,my-pj,my-pj,overall,122.8
2021,my-jh,my-jh,recreation_culture,116.4
2021,my-kh,my-kh,recreation_culture,113.6
2021,my-kn,my-kn,recreation_culture,108.0
2021,my-me,my-me,recreation_culture,113.5
2021,my-ns,my-ns,recreation_culture,115.6
2021,my-ph,my-ph,recreation_culture,107.6
2021,my-pk,my-pk,recreation_culture,109.3
2021,my-pl,my-pl,recreation_culture,115.5
2021,my-pg,my-pg,recreation_culture,111.3
2021,my-sa,my-sa,recreation_culture,116.8
2021,my-sk,my-sk,recreation_culture,122.4
2021,my-sl,my-sl,recreation_culture,115.2
2021,my-te,my-te,recreation_culture,108.0
2021,my-kl,my-kl,recreation_culture,111.3
2021,my-la,my-la,recreation_culture,119.0
2021,my-pj,my-pj,recreation_culture,106.8
2021,my-jh,my-jh,transport,108.5
2021,my-kh,my-kh,transport,105.0
2021,my-kn,my-kn,transport,106.9
2021,my-me,my-me,transport,102.7
2021,my-ns,my-ns,transport,109.7
2021,my-ph,my-ph,transport,104.0
2021,my-pk,my-pk,transport,105.7
2021,my-pl,my-pl,transport,103.4
2021,my-pg,my-pg,transport,107.7
2021,my-sa,my-sa,transport,105.3
2021,my-sk,my-sk,transport,114.2
2021,my-sl,my-sl,transport,112.2
2021,my-te,my-te,transport,106.4
2021,my-kl,my-kl,transport,116.6
2021,my-la,my-la,transport,104.6
2021,my-pj,my-pj,transport,114.9
2021,my-jh,my-jh,alcohol_tobacco,172.1
2021,my-kh,my-kh,alcohol_tobacco,174.3
2021,my-kn,my-kn,alcohol_tobacco,183.7
2021,my-me,my-me,alcohol_tobacco,169.5
2021,my-ns,my-ns,alcohol_tobacco,170.5
2021,my-ph,my-ph,alcohol_tobacco,176.5
2021,my-pk,my-pk,alcohol_tobacco,167.3
2021,my-pl,my-pl,alcohol_tobacco,183.9
2021,my-pg,my-pg,alcohol_tobacco,165.7
2021,my-sa,my-sa,alcohol_tobacco,172.5
2021,my-sk,my-sk,alcohol_tobacco,147.0
2021,my-sl,my-sl,alcohol_tobacco,168.0
2021,my-te,my-te,alcohol_tobacco,183.1
2021,my-kl,my-kl,alcohol_tobacco,165.7
2021,my-la,my-la,alcohol_tobacco,132.7
2021,my-pj,my-pj,alcohol_tobacco,183.8
2021,my-jh,my-jh,clothing_footwear,95.2
2021,my-kh,my-kh,clothing_footwear,87.4
2021,my-kn,my-kn,clothing_footwear,97.2
2021,my-me,my-me,clothing_footwear,76.9
2021,my-ns,my-ns,clothing_footwear,99.5
2021,my-ph,my-ph,clothing_footwear,95.0
2021,my-pk,my-pk,clothing_footwear,91.9
2021,my-pl,my-pl,clothing_footwear,90.1
2021,my-pg,my-pg,clothing_footwear,90.9
2021,my-sa,my-sa,clothing_footwear,91.3
2021,my-sk,my-sk,clothing_footwear,90.0
2021,my-sl,my-sl,clothing_footwear,98.8
2021,my-te,my-te,clothing_footwear,92.9
2021,my-kl,my-kl,clothing_footwear,86.2
2021,my-la,my-la,clothing_footwear,89.0
2021,my-pj,my-pj,clothing_footwear,87.2
2021,my-jh,my-jh,communication,98.0
2021,my-kh,my-kh,communication,98.9
2021,my-kn,my-kn,communication,99.4
2021,my-me,my-me,communication,97.8
2021,my-ns,my-ns,communication,102.6
2021,my-ph,my-ph,communication,104.3
2021,my-pk,my-pk,communication,101.7
2021,my-pl,my-pl,communication,102.1
2021,my-pg,my-pg,communication,96.1
2021,my-sa,my-sa,communication,99.1
2021,my-sk,my-sk,communication,96.0
2021,my-sl,my-sl,communication,96.4
2021,my-te,my-te,communication,97.6
2021,my-kl,my-kl,communication,91.9
2021,my-la,my-la,communication,100.3
2021,my-pj,my-pj,communication,96.6
2021,my-jh,my-jh,education,127.2
2021,my-kh,my-kh,education,108.5
2021,my-kn,my-kn,education,130.5
2021,my-me,my-me,education,131.0
2021,my-ns,my-ns,education,114.8
2021,my-ph,my-ph,education,120.3
2021,my-pk,my-pk,education,114.5
2021,my-pl,my-pl,education,126.0
2021,my-pg,my-pg,education,119.4
2021,my-sa,my-sa,education,112.1
2021,my-sk,my-sk,education,114.2
2021,my-sl,my-sl,education,122.5
2021,my-te,my-te,education,126.7
2021,my-kl,my-kl,education,127.6
2021,my-la,my-la,education,130.2
2021,my-pj,my-pj,education,126.7
2021,my-jh,my-jh,food_beverage,142.6
2021,my-kh,my-kh,food_beverage,130.3
2021,my-kn,my-kn,food_beverage,133.8
2021,my-me,my-me,food_beverage,137.3
2021,my-ns,my-ns,food_beverage,135.2
2021,my-ph,my-ph,food_beverage,134.7
2021,my-pk,my-pk,food_beverage,129.4
2021,my-pl,my-pl,food_beverage,124.0
2021,my-pg,my-pg,food_beverage,140.8
2021,my-sa,my-sa,food_beverage,123.6
2021,my-sk,my-sk,food_beverage,129.7
2021,my-sl,my-sl,food_beverage,141.3
2021,my-te,my-te,food_beverage,129.6
2021,my-kl,my-kl,food_beverage,138.5
2021,my-la,my-la,food_beverage,124.1
2021,my-pj,my-pj,food_beverage,146.0
2021,my-jh,my-jh,furnishings,116.0
2021,my-kh,my-kh,furnishings,114.8
2021,my-kn,my-kn,furnishings,112.0
2021,my-me,my-me,furnishings,117.9
2021,my-ns,my-ns,furnishings,115.6
2021,my-ph,my-ph,furnishings,117.9
2021,my-pk,my-pk,furnishings,116.2
2021,my-pl,my-pl,furnishings,108.1
2021,my-pg,my-pg,furnishings,116.2
2021,my-sa,my-sa,furnishings,112.8
2021,my-sk,my-sk,furnishings,108.7
2021,my-sl,my-sl,furnishings,122.3
2021,my-te,my-te,furnishings,111.9
2021,my-kl,my-kl,furnishings,118.8
2021,my-la,my-la,furnishings,107.2
2021,my-pj,my-pj,furnishings,129.8
2021,my-jh,my-jh,health,129.8
2021,my-kh,my-kh,health,119.2
2021,my-kn,my-kn,health,126.6
2021,my-me,my-me,health,120.6
2021,my-ns,my-ns,health,125.8
2021,my-ph,my-ph,health,121.5
2021,my-pk,my-pk,health,120.7
2021,my-pl,my-pl,health,115.3
2021,my-pg,my-pg,health,130.0
2021,my-sa,my-sa,health,128.4
2021,my-sk,my-sk,health,129.3
2021,my-sl,my-sl,health,124.7
2021,my-te,my-te,health,123.8
2021,my-kl,my-kl,health,118.0
2021,my-la,my-la,health,130.3
2021,my-pj,my-pj,health,109.3
2021,my-jh,my-jh,hospitality,134.0
2021,my-kh,my-kh,hospitality,127.7
2021,my-kn,my-kn,hospitality,119.9
2021,my-me,my-me,hospitality,125.3
2021,my-ns,my-ns,hospitality,123.9
2021,my-ph,my-ph,hospitality,120.5
2021,my-pk,my-pk,hospitality,127.2
2021,my-pl,my-pl,hospitality,122.9
2021,my-pg,my-pg,hospitality,133.8
2021,my-sa,my-sa,hospitality,135.3
2021,my-sk,my-sk,hospitality,127.7
2021,my-sl,my-sl,hospitality,141.9
2021,my-te,my-te,hospitality,120.1
2021,my-kl,my-kl,hospitality,129.1
2021,my-la,my-la,hospitality,125.7
2021,my-pj,my-pj,hospitality,138.2
2021,my-jh,my-jh,housing_utilities,123.2
2021,my-kh,my-kh,housing_utilities,123.8
2021,my-kn,my-kn,housing_utilities,116.7
2021,my-me,my-me,housing_utilities,124.3
2021,my-ns,my-ns,housing_utilities,120.7
2021,my-ph,my-ph,housing_utilities,117.6
2021,my-pk,my-pk,housing_utilities,114.5
2021,my-pl,my-pl,housing_utilities,112.9
2021,my-pg,my-pg,housing_utilities,124.5
2021,my-sa,my-sa,housing_utilities,107.4
2021,my-sk,my-sk,housing_utilities,108.5
2021,my-sl,my-sl,housing_utilities,127.1
2021,my-te,my-te,housing_utilities,114.3
2021,my-kl,my-kl,housing_utilities,128.3
2021,my-la,my-la,housing_utilities,119.4
2021,my-pj,my-pj,housing_utilities,121.3
2021,my-jh,my-jh,misc,123.4
2021,my-kh,my-kh,misc,120.1
2021,my-kn,my-kn,misc,118.8
2021,my-me,my-me,misc,114.8
2021,my-ns,my-ns,misc,111.2
2021,my-ph,my-ph,misc,114.6
2021,my-pk,my-pk,misc,118.5
2021,my-pl,my-pl,misc,108.8
2021,my-pg,my-pg,misc,122.9
2021,my-sa,my-sa,misc,114.1
2021,my-sk,my-sk,misc,114.8
2021,my-sl,my-sl,misc,113.1
2021,my-te,my-te,misc,123.6
2021,my-kl,my-kl,misc,113.0
2021,my-la,my-la,misc,113.0
2021,my-pj,my-pj,misc,117.5
2021,my-jh,my-jh,overall,125.7
2021,my-kh,my-kh,overall,119.8
2021,my-kn,my-kn,overall,121.9
2021,my-me,my-me,overall,120.3
2021,my-ns,my-ns,overall,123.2
2021,my-ph,my-ph,overall,120.4
2021,my-pk,my-pk,overall,118.6
2021,my-pl,my-pl,overall,115.9
2021,my-pg,my-pg,overall,124.6
2021,my-sa,my-sa,overall,114.2
2021,my-sk,my-sk,overall,116.6
2021,my-sl,my-sl,overall,126.0
2021,my-te,my-te,overall,118.8
2021,my-kl,my-kl,overall,124.2
2021,my-la,my-la,overall,117.3
2021,my-pj,my-pj,overall,124.4
2021,my-jh,my-jh,recreation_culture,116.4
2021,my-kh,my-kh,recreation_culture,113.7
2021,my-kn,my-kn,recreation_culture,108.1
2021,my-me,my-me,recreation_culture,113.5
2021,my-ns,my-ns,recreation_culture,115.7
2021,my-ph,my-ph,recreation_culture,107.7
2021,my-pk,my-pk,recreation_culture,109.3
2021,my-pl,my-pl,recreation_culture,115.5
2021,my-pg,my-pg,recreation_culture,111.3
2021,my-sa,my-sa,recreation_culture,116.9
2021,my-sk,my-sk,recreation_culture,103.7
2021,my-sl,my-sl,recreation_culture,115.3
2021,my-te,my-te,recreation_culture,108.0
2021,my-kl,my-kl,recreation_culture,111.3
2021,my-la,my-la,recreation_culture,119.1
2021,my-pj,my-pj,recreation_culture,106.8
2021,my-jh,my-jh,transport,111.1
2021,my-kh,my-kh,transport,107.4
2021,my-kn,my-kn,transport,110.0
2021,my-me,my-me,transport,104.8
2021,my-ns,my-ns,transport,112.4
2021,my-ph,my-ph,transport,107.1
2021,my-pk,my-pk,transport,108.5
2021,my-pl,my-pl,transport,107.1
2021,my-pg,my-pg,transport,110.3
2021,my-sa,my-sa,transport,108.3
2021,my-sk,my-sk,transport,114.1
2021,my-sl,my-sl,transport,114.3
2021,my-te,my-te,transport,109.8
2021,my-kl,my-kl,transport,118.1
2021,my-la,my-la,transport,107.8
2021,my-pj,my-pj,transport,115.9
2021,my-jh,my-jh,alcohol_tobacco,172.3
2021,my-kh,my-kh,alcohol_tobacco,174.4
2021,my-kn,my-kn,alcohol_tobacco,183.8
2021,my-me,my-me,alcohol_tobacco,169.7
2021,my-ns,my-ns,alcohol_tobacco,170.5
2021,my-ph,my-ph,alcohol_tobacco,176.4
2021,my-pk,my-pk,alcohol_tobacco,167.5
2021,my-pl,my-pl,alcohol_tobacco,183.9
2021,my-pg,my-pg,alcohol_tobacco,165.6
2021,my-sa,my-sa,alcohol_tobacco,172.5
2021,my-sk,my-sk,alcohol_tobacco,147.0
2021,my-sl,my-sl,alcohol_tobacco,168.2
2021,my-te,my-te,alcohol_tobacco,183.2
2021,my-kl,my-kl,alcohol_tobacco,165.9
2021,my-la,my-la,alcohol_tobacco,132.7
2021,my-pj,my-pj,alcohol_tobacco,184.1
2021,my-jh,my-jh,clothing_footwear,95.3
2021,my-kh,my-kh,clothing_footwear,87.4
2021,my-kn,my-kn,clothing_footwear,97.2
2021,my-me,my-me,clothing_footwear,76.9
2021,my-ns,my-ns,clothing_footwear,99.4
2021,my-ph,my-ph,clothing_footwear,95.0
2021,my-pk,my-pk,clothing_footwear,91.7
2021,my-pl,my-pl,clothing_footwear,90.1
2021,my-pg,my-pg,clothing_footwear,90.7
2021,my-sa,my-sa,clothing_footwear,91.2
2021,my-sk,my-sk,clothing_footwear,90.0
2021,my-sl,my-sl,clothing_footwear,98.9
2021,my-te,my-te,clothing_footwear,92.9
2021,my-kl,my-kl,clothing_footwear,86.1
2021,my-la,my-la,clothing_footwear,89.3
2021,my-pj,my-pj,clothing_footwear,87.2
2021,my-jh,my-jh,communication,98.0
2021,my-kh,my-kh,communication,98.9
2021,my-kn,my-kn,communication,99.3
2021,my-me,my-me,communication,97.8
2021,my-ns,my-ns,communication,102.6
2021,my-ph,my-ph,communication,104.3
2021,my-pk,my-pk,communication,101.7
2021,my-pl,my-pl,communication,102.1
2021,my-pg,my-pg,communication,96.1
2021,my-sa,my-sa,communication,99.1
2021,my-sk,my-sk,communication,95.9
2021,my-sl,my-sl,communication,96.4
2021,my-te,my-te,communication,97.5
2021,my-kl,my-kl,communication,91.9
2021,my-la,my-la,communication,100.3
2021,my-pj,my-pj,communication,96.6
2021,my-jh,my-jh,education,127.3
2021,my-kh,my-kh,education,108.5
2021,my-kn,my-kn,education,130.6
2021,my-me,my-me,education,131.0
2021,my-ns,my-ns,education,114.8
2021,my-ph,my-ph,education,121.0
2021,my-pk,my-pk,education,114.6
2021,my-pl,my-pl,education,126.0
2021,my-pg,my-pg,education,119.4
2021,my-sa,my-sa,education,112.1
2021,my-sk,my-sk,education,113.3
2021,my-sl,my-sl,education,122.5
2021,my-te,my-te,education,126.9
2021,my-kl,my-kl,education,126.5
2021,my-la,my-la,education,130.2
2021,my-pj,my-pj,education,126.7
2021,my-jh,my-jh,food_beverage,142.6
2021,my-kh,my-kh,food_beverage,130.3
2021,my-kn,my-kn,food_beverage,133.4
2021,my-me,my-me,food_beverage,137.3
2021,my-ns,my-ns,food_beverage,135.3
2021,my-ph,my-ph,food_beverage,134.9
2021,my-pk,my-pk,food_beverage,129.3
2021,my-pl,my-pl,food_beverage,123.3
2021,my-pg,my-pg,food_beverage,140.7
2021,my-sa,my-sa,food_beverage,123.8
2021,my-sk,my-sk,food_beverage,129.8
2021,my-sl,my-sl,food_beverage,141.5
2021,my-te,my-te,food_beverage,129.3
2021,my-kl,my-kl,food_beverage,138.9
2021,my-la,my-la,food_beverage,124.7
2021,my-pj,my-pj,food_beverage,146.2
2021,my-jh,my-jh,furnishings,116.2
2021,my-kh,my-kh,furnishings,115.0
2021,my-kn,my-kn,furnishings,112.3
2021,my-me,my-me,furnishings,118.2
2021,my-ns,my-ns,furnishings,115.6
2021,my-ph,my-ph,furnishings,118.7
2021,my-pk,my-pk,furnishings,116.5
2021,my-pl,my-pl,furnishings,108.4
2021,my-pg,my-pg,furnishings,116.6
2021,my-sa,my-sa,furnishings,113.1
2021,my-sk,my-sk,furnishings,108.8
2021,my-sl,my-sl,furnishings,124.0
2021,my-te,my-te,furnishings,112.1
2021,my-kl,my-kl,furnishings,119.7
2021,my-la,my-la,furnishings,107.2
2021,my-pj,my-pj,furnishings,129.8
2021,my-jh,my-jh,health,129.8
2021,my-kh,my-kh,health,119.1
2021,my-kn,my-kn,health,126.8
2021,my-me,my-me,health,120.0
2021,my-ns,my-ns,health,126.0
2021,my-ph,my-ph,health,121.7
2021,my-pk,my-pk,health,120.9
2021,my-pl,my-pl,health,115.2
2021,my-pg,my-pg,health,130.2
2021,my-sa,my-sa,health,128.5
2021,my-sk,my-sk,health,129.2
2021,my-sl,my-sl,health,124.9
2021,my-te,my-te,health,124.0
2021,my-kl,my-kl,health,118.3
2021,my-la,my-la,health,130.3
2021,my-pj,my-pj,health,109.3
2021,my-jh,my-jh,hospitality,134.0
2021,my-kh,my-kh,hospitality,127.7
2021,my-kn,my-kn,hospitality,120.2
2021,my-me,my-me,hospitality,125.3
2021,my-ns,my-ns,hospitality,123.9
2021,my-ph,my-ph,hospitality,120.5
2021,my-pk,my-pk,hospitality,127.5
2021,my-pl,my-pl,hospitality,123.3
2021,my-pg,my-pg,hospitality,134.0
2021,my-sa,my-sa,hospitality,135.6
2021,my-sk,my-sk,hospitality,127.8
2021,my-sl,my-sl,hospitality,141.9
2021,my-te,my-te,hospitality,120.7
2021,my-kl,my-kl,hospitality,129.5
2021,my-la,my-la,hospitality,125.7
2021,my-pj,my-pj,hospitality,138.2
2021,my-jh,my-jh,housing_utilities,123.2
2021,my-kh,my-kh,housing_utilities,123.8
2021,my-kn,my-kn,housing_utilities,116.7
2021,my-me,my-me,housing_utilities,124.4
2021,my-ns,my-ns,housing_utilities,120.7
2021,my-ph,my-ph,housing_utilities,117.6
2021,my-pk,my-pk,housing_utilities,114.5
2021,my-pl,my-pl,housing_utilities,113.1
2021,my-pg,my-pg,housing_utilities,124.5
2021,my-sa,my-sa,housing_utilities,107.4
2021,my-sk,my-sk,housing_utilities,108.6
2021,my-sl,my-sl,housing_utilities,127.1
2021,my-te,my-te,housing_utilities,114.3
2021,my-kl,my-kl,housing_utilities,128.3
2021,my-la,my-la,housing_utilities,119.4
2021,my-pj,my-pj,housing_utilities,121.3
2021,my-jh,my-jh,misc,122.8
2021,my-kh,my-kh,misc,119.8
2021,my-kn,my-kn,misc,118.3
2021,my-me,my-me,misc,114.5
2021,my-ns,my-ns,misc,111.2
2021,my-ph,my-ph,misc,114.5
2021,my-pk,my-pk,misc,118.3
2021,my-pl,my-pl,misc,108.6
2021,my-pg,my-pg,misc,122.9
2021,my-sa,my-sa,misc,114.0
2021,my-sk,my-sk,misc,114.7
2021,my-sl,my-sl,misc,112.9
2021,my-te,my-te,misc,122.9
2021,my-kl,my-kl,misc,113.4
2021,my-la,my-la,misc,113.1
2021,my-pj,my-pj,misc,116.4
2021,my-jh,my-jh,overall,126.2
2021,my-kh,my-kh,overall,120.3
2021,my-kn,my-kn,overall,122.2
2021,my-me,my-me,overall,120.6
2021,my-ns,my-ns,overall,123.6
2021,my-ph,my-ph,overall,120.9
2021,my-pk,my-pk,overall,118.9
2021,my-pl,my-pl,overall,116.2
2021,my-pg,my-pg,overall,124.9
2021,my-sa,my-sa,overall,114.7
2021,my-sk,my-sk,overall,117.1
2021,my-sl,my-sl,overall,126.5
2021,my-te,my-te,overall,119.2
2021,my-kl,my-kl,overall,124.7
2021,my-la,my-la,overall,117.9
2021,my-pj,my-pj,overall,124.6
2021,my-jh,my-jh,recreation_culture,116.5
2021,my-kh,my-kh,recreation_culture,113.8
2021,my-kn,my-kn,recreation_culture,108.1
2021,my-me,my-me,recreation_culture,113.1
2021,my-ns,my-ns,recreation_culture,115.7
2021,my-ph,my-ph,recreation_culture,107.6
2021,my-pk,my-pk,recreation_culture,109.2
2021,my-pl,my-pl,recreation_culture,115.5
2021,my-pg,my-pg,recreation_culture,111.3
2021,my-sa,my-sa,recreation_culture,118.8
2021,my-sk,my-sk,recreation_culture,103.8
2021,my-sl,my-sl,recreation_culture,115.5
2021,my-te,my-te,recreation_culture,108.0
2021,my-kl,my-kl,recreation_culture,112.7
2021,my-la,my-la,recreation_culture,121.3
2021,my-pj,my-pj,recreation_culture,106.8
2021,my-jh,my-jh,transport,114.0
2021,my-kh,my-kh,transport,109.7
2021,my-kn,my-kn,transport,113.0
2021,my-me,my-me,transport,106.9
2021,my-ns,my-ns,transport,115.1
2021,my-ph,my-ph,transport,110.2
2021,my-pk,my-pk,transport,111.3
2021,my-pl,my-pl,transport,110.9
2021,my-pg,my-pg,transport,113.0
2021,my-sa,my-sa,transport,110.8
2021,my-sk,my-sk,transport,117.9
2021,my-sl,my-sl,transport,116.8
2021,my-te,my-te,transport,113.1
2021,my-kl,my-kl,transport,119.6
2021,my-la,my-la,transport,111.1
2021,my-pj,my-pj,transport,117.8
2021,my-jh,my-jh,alcohol_tobacco,172.3
2021,my-kh,my-kh,alcohol_tobacco,174.4
2021,my-kn,my-kn,alcohol_tobacco,183.8
2021,my-me,my-me,alcohol_tobacco,169.3
2021,my-ns,my-ns,alcohol_tobacco,170.5
2021,my-ph,my-ph,alcohol_tobacco,176.5
2021,my-pk,my-pk,alcohol_tobacco,167.2
2021,my-pl,my-pl,alcohol_tobacco,183.9
2021,my-pg,my-pg,alcohol_tobacco,166.0
2021,my-sa,my-sa,alcohol_tobacco,172.6
2021,my-sk,my-sk,alcohol_tobacco,147.3
2021,my-sl,my-sl,alcohol_tobacco,168.2
2021,my-te,my-te,alcohol_tobacco,183.2
2021,my-kl,my-kl,alcohol_tobacco,166.4
2021,my-la,my-la,alcohol_tobacco,132.7
2021,my-pj,my-pj,alcohol_tobacco,184.1
2021,my-jh,my-jh,clothing_footwear,95.3
2021,my-kh,my-kh,clothing_footwear,87.3
2021,my-kn,my-kn,clothing_footwear,97.3
2021,my-me,my-me,clothing_footwear,76.5
